2019-03-02 20:06:58,543 - netlog - INFO - ================================================
2019-03-02 20:06:58,543 - netlog - INFO - Learning Rate: 0.0001
2019-03-02 20:06:58,543 - netlog - INFO - Nbr of Epochs: 20
2019-03-02 20:06:58,543 - netlog - INFO - Batch Size: 2
2019-03-02 20:06:58,543 - netlog - INFO - Window Size: 12
2019-03-02 20:06:58,543 - netlog - INFO - Hidden Layer Dimension: 64
2019-03-02 20:52:57,566 - netlog - INFO - epochs:1, train loss:2.46866464615, train acc:0.0
2019-03-02 20:53:54,469 - netlog - INFO - epochs:2, train loss:2.68544912338, train acc:0.0
2019-03-02 20:57:17,774 - netlog - INFO - epochs:1, train loss:2.52816462517, train acc:0.0
2019-03-02 20:59:20,048 - netlog - INFO - epochs:2, train loss:2.12930846214, train acc:0.0
2019-03-02 21:03:30,193 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.44210791588
2019-03-02 21:03:32,683 - netlog - INFO - epochs:2, train loss:2.41164922714, train acc:0.0
2019-03-02 21:04:43,509 - netlog - INFO - epochs:2, train loss:2.26268625259, train acc:0.0
2019-03-02 21:07:54,041 - netlog - INFO - epochs:2, train loss:2.33161139488, train acc:50.0
2019-03-02 21:10:04,428 - netlog - INFO - epochs:2, train loss:2.55771994591, train acc:0.0
2019-03-02 21:12:13,998 - netlog - INFO - epochs:2, train loss:2.53131532669, train acc:0.0
2019-03-02 21:15:38,872 - netlog - INFO - epochs:2, train loss:2.58114480972, train acc:0.0
2019-03-02 21:16:30,068 - netlog - INFO - epochs:2, train loss:2.37362766266, train acc:50.0
2019-03-02 21:20:53,855 - netlog - INFO - epochs:2, train loss:2.49897527695, train acc:0.0
2019-03-02 21:24:00,662 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.75942373276
2019-03-02 21:24:14,579 - netlog - INFO - epochs:3, train loss:2.49485445023, train acc:0.0
2019-03-02 21:25:12,816 - netlog - INFO - epochs:2, train loss:2.51229572296, train acc:0.0
2019-03-02 21:28:54,386 - netlog - INFO - epochs:3, train loss:2.67076015472, train acc:0.0
2019-03-02 21:31:33,695 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.43835783005
2019-03-02 21:31:36,294 - netlog - INFO - epochs:3, train loss:2.41654038429, train acc:0.0
2019-03-02 21:33:40,202 - netlog - INFO - epochs:3, train loss:2.130433321, train acc:0.0
2019-03-02 21:35:52,994 - netlog - INFO - epochs:3, train loss:2.34390974045, train acc:50.0
2019-03-02 21:38:24,613 - netlog - INFO - epochs:3, train loss:2.28492546082, train acc:0.0
2019-03-02 21:40:11,847 - netlog - INFO - epochs:3, train loss:2.51262903214, train acc:0.0
2019-03-02 21:43:06,648 - netlog - INFO - epochs:3, train loss:2.5690703392, train acc:0.0
2019-03-02 21:44:34,077 - netlog - INFO - epochs:3, train loss:2.37600803375, train acc:50.0
2019-03-02 21:47:48,821 - netlog - INFO - epochs:3, train loss:2.56351327896, train acc:0.0
2019-03-02 21:48:56,440 - netlog - INFO - epochs:3, train loss:2.48007369041, train acc:0.0
2019-03-02 21:53:20,587 - netlog - INFO - epochs:3, train loss:2.5101878643, train acc:0.0
2019-03-02 21:54:28,506 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.77684736252
2019-03-02 21:54:31,222 - netlog - INFO - epochs:4, train loss:2.49401283264, train acc:0.0
2019-03-02 21:59:16,458 - netlog - INFO - epochs:4, train loss:2.69187688828, train acc:0.0
2019-03-02 21:59:26,360 - netlog - INFO - ==> val loss:8.91719745223, val acc:2.48860645294
2019-03-02 21:59:28,870 - netlog - INFO - epochs:4, train loss:2.39106702805, train acc:50.0
2019-03-02 22:03:49,723 - netlog - INFO - epochs:4, train loss:2.33929514885, train acc:50.0
2019-03-02 22:03:59,812 - netlog - INFO - epochs:4, train loss:2.13762879372, train acc:0.0
2019-03-02 22:08:12,097 - netlog - INFO - epochs:4, train loss:2.52920913696, train acc:0.0
2019-03-02 22:08:37,815 - netlog - INFO - epochs:4, train loss:2.24588108063, train acc:0.0
2019-03-02 22:12:32,301 - netlog - INFO - epochs:4, train loss:2.34823417664, train acc:50.0
2019-03-02 22:13:24,104 - netlog - INFO - epochs:4, train loss:2.56337380409, train acc:0.0
2019-03-02 22:16:51,115 - netlog - INFO - epochs:4, train loss:2.48362517357, train acc:0.0
2019-03-02 22:18:14,434 - netlog - INFO - epochs:4, train loss:2.57593917847, train acc:0.0
2019-03-02 22:21:09,169 - netlog - INFO - epochs:4, train loss:2.49610209465, train acc:0.0
2019-03-02 22:24:46,433 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.77444505692
2019-03-02 22:24:49,149 - netlog - INFO - epochs:5, train loss:2.47437763214, train acc:0.0
2019-03-02 22:27:22,705 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.51119661331
2019-03-02 22:27:25,312 - netlog - INFO - epochs:5, train loss:2.38269901276, train acc:0.0
2019-03-02 22:29:31,861 - netlog - INFO - epochs:5, train loss:2.67121744156, train acc:0.0
2019-03-02 22:31:46,344 - netlog - INFO - epochs:5, train loss:2.32650947571, train acc:50.0
2019-03-02 22:34:16,805 - netlog - INFO - epochs:5, train loss:2.14003372192, train acc:0.0
2019-03-02 22:36:05,201 - netlog - INFO - epochs:5, train loss:2.54099750519, train acc:0.0
2019-03-02 22:39:03,753 - netlog - INFO - epochs:5, train loss:2.28216934204, train acc:0.0
2019-03-02 22:40:24,541 - netlog - INFO - epochs:5, train loss:2.33120203018, train acc:50.0
2019-03-02 22:43:42,384 - netlog - INFO - epochs:5, train loss:2.55199122429, train acc:0.0
2019-03-02 22:44:45,992 - netlog - INFO - epochs:5, train loss:2.48694610596, train acc:0.0
2019-03-02 22:48:30,496 - netlog - INFO - epochs:5, train loss:2.57711958885, train acc:0.0
2019-03-02 22:49:06,714 - netlog - INFO - epochs:5, train loss:2.48222637177, train acc:0.0
2019-03-02 22:55:14,266 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.75067424774
2019-03-02 22:55:17,196 - netlog - INFO - epochs:6, train loss:2.516092062, train acc:0.0
5
2019-03-02 22:55:19,017 - netlog - INFO - epochs:6, train loss:2.37937927246, train acc:0.0
2019-03-02 22:59:35,685 - netlog - INFO - epochs:6, train loss:2.31797742844, train acc:50.0
2019-03-02 23:00:00,349 - netlog - INFO - epochs:6, train loss:2.71181774139, train acc:0.0
2019-03-02 23:03:53,415 - netlog - INFO - epochs:6, train loss:2.54804754257, train acc:0.0
2019-03-02 23:04:40,901 - netlog - INFO - epochs:6, train loss:2.14915299416, train acc:0.0
2019-03-02 23:08:13,999 - netlog - INFO - epochs:6, train loss:2.32055640221, train acc:50.0
2019-03-02 23:09:26,473 - netlog - INFO - epochs:6, train loss:2.28777837753, train acc:0.0
2019-03-02 23:12:38,141 - netlog - INFO - epochs:6, train loss:2.48925948143, train acc:0.0
2019-03-02 23:14:12,319 - netlog - INFO - epochs:6, train loss:2.57049179077, train acc:0.0
2019-03-02 23:17:00,077 - netlog - INFO - epochs:6, train loss:2.47173571587, train acc:0.0
2019-03-02 23:19:02,842 - netlog - INFO - epochs:6, train loss:2.55278587341, train acc:0.0
2019-03-02 23:23:23,365 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.53675460815
2019-03-02 23:23:25,924 - netlog - INFO - epochs:7, train loss:2.37813520432, train acc:0.0
2019-03-02 23:25:46,957 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.761251688
2019-03-02 23:25:49,674 - netlog - INFO - epochs:7, train loss:2.46908402443, train acc:0.0
2019-03-02 23:27:54,453 - netlog - INFO - epochs:7, train loss:2.3131313324, train acc:50.0
2019-03-02 23:30:35,833 - netlog - INFO - epochs:7, train loss:2.69583511353, train acc:0.0
2019-03-02 23:32:17,827 - netlog - INFO - epochs:7, train loss:2.55232739449, train acc:0.0
2019-03-02 23:35:21,854 - netlog - INFO - epochs:7, train loss:2.12143778801, train acc:0.0
2019-03-02 23:36:46,052 - netlog - INFO - epochs:7, train loss:2.31395149231, train acc:50.0
2019-03-02 23:40:04,567 - netlog - INFO - epochs:7, train loss:2.27968168259, train acc:0.0
2019-03-02 23:41:07,904 - netlog - INFO - epochs:7, train loss:2.49073696136, train acc:0.0
2019-03-02 23:44:47,314 - netlog - INFO - epochs:7, train loss:2.59507203102, train acc:0.0
2019-03-02 23:45:24,995 - netlog - INFO - epochs:7, train loss:2.46451044083, train acc:0.0
2019-03-02 23:49:32,735 - netlog - INFO - epochs:7, train loss:2.55233955383, train acc:0.0
2019-03-02 23:51:43,293 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.54279756546
2019-03-02 23:51:45,843 - netlog - INFO - epochs:8, train loss:2.37775921822, train acc:0.0
2019-03-02 23:56:06,343 - netlog - INFO - epochs:8, train loss:2.31037521362, train acc:50.0
2019-03-02 23:56:12,374 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.78420639038
2019-03-02 23:56:15,457 - netlog - INFO - epochs:8, train loss:2.5197789669, train acc:0.0
2019-03-03 00:00:28,355 - netlog - INFO - epochs:8, train loss:2.55495142937, train acc:0.0
2019-03-03 00:00:59,621 - netlog - INFO - epochs:8, train loss:2.66843414307, train acc:0.0
2019-03-03 00:04:42,730 - netlog - INFO - epochs:8, train loss:2.30986499786, train acc:50.0
2019-03-03 00:05:39,703 - netlog - INFO - epochs:8, train loss:2.14750313759, train acc:0.0
2019-03-03 00:09:04,107 - netlog - INFO - epochs:8, train loss:2.49165296555, train acc:0.0
2019-03-03 00:10:25,027 - netlog - INFO - epochs:8, train loss:2.2620434761, train acc:0.0
2019-03-03 00:13:26,238 - netlog - INFO - epochs:8, train loss:2.45975708961, train acc:0.0
2019-03-03 00:15:09,222 - netlog - INFO - epochs:8, train loss:2.55243444443, train acc:0.0
2019-03-03 00:19:37,584 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.54641580582
2019-03-03 00:19:40,160 - netlog - INFO - epochs:9, train loss:2.37773084641, train acc:0.0
2019-03-03 00:19:57,136 - netlog - INFO - epochs:8, train loss:2.65698337555, train acc:0.0
2019-03-03 00:23:47,697 - netlog - INFO - epochs:9, train loss:2.30883312225, train acc:50.0
2019-03-03 00:26:32,053 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.76642918587
2019-03-03 00:26:34,979 - netlog - INFO - epochs:9, train loss:2.53682208061, train acc:0.0
2019-03-03 00:28:03,493 - netlog - INFO - epochs:9, train loss:2.5566034317, train acc:0.0
2019-03-03 00:31:21,563 - netlog - INFO - epochs:9, train loss:2.64831709862, train acc:0.0
2019-03-03 00:32:25,588 - netlog - INFO - epochs:9, train loss:2.30731725693, train acc:50.0
2019-03-03 00:36:07,955 - netlog - INFO - epochs:9, train loss:2.09236359596, train acc:0.0
2019-03-03 00:36:48,274 - netlog - INFO - epochs:9, train loss:2.49222779274, train acc:0.0
2019-03-03 00:40:50,704 - netlog - INFO - epochs:9, train loss:2.2530708313, train acc:0.0
2019-03-03 00:41:06,535 - netlog - INFO - epochs:9, train loss:2.45619297028, train acc:0.0
2019-03-03 00:45:33,603 - netlog - INFO - epochs:9, train loss:2.53601789474, train acc:0.0
2019-03-03 00:50:23,209 - netlog - INFO - epochs:9, train loss:2.68763041496, train acc:0.0
2019-03-03 00:57:04,068 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.75305199623
2019-03-03 00:57:07,020 - netlog - INFO - epochs:10, train loss:2.50700354576, train acc:0.0
